Time (s);Position_X;Position_Y;norme;vitesse;acceleration
0,0209;0,059786064;0,154336578;0,16551179;-0,061389491;175,3270723
0,021;0,059938324;0,154272736;0,16550734;-0,04450305;168,8644146
0,0211;0,060090692;0,154210415;0,165504512;-0,028285266;162,177841
0,0212;0,060243172;0,154149565;0,165503257;-0,012546507;157,3875825
0,0213;0,060395769;0,154090163;0,165503556;0,002992778;155,3928534
0,0214;0,060548482;0,154032218;0,165505417;0,01860502;156,122423
0,0215;0,060701318;0,153975759;0,165508865;0,034478931;158,7391024
0,0216;0,060854288;0,153920812;0,165513929;0,050643698;161,6476771
0,0217;0,061007416;0,153867383;0,165520623;0,06693545;162,9175171
0,0218;0,061160732;0,153815446;0,16552893;0,083069959;161,345092
0,0219;0,061314263;0,153764945;0,165538808;0,098788895;157,1893574
0,022;0,061468027;0,153715815;0,165550205;0,11396172;151,7282518
0,0221;0,061622037;0,153667995;0,165563064;0,12859297;146,3124962
0,0222;0,061776293;0,153621436;0,165577342;0,142777693;141,8472324
0,0223;0,061930792;0,153576108;0,165593007;0,156651707;138,7401374
0,0224;0,062085522;0,153531996;0,165610042;0,170350454;136,9874753
0,0225;0,062240468;0,1534891;0,165628439;0,183972474;136,2201979
0,0226;0,062395608;0,153447425;0,165648194;0,197544982;135,7250764
0,0227;0,062550918;0,153406967;0,165669294;0,211003338;134,5835595
0,0228;0,062706373;0,153367712;0,165691715;0,224208664;132,0532685
0,0229;0,062861952;0,153329626;0,165715416;0,237011687;128,0302287
0,023;0,063017636;0,153292663;0,165740349;0,249326393;123,1470581
0,0231;0,063173416;0,153256779;0,165766465;0,261161269;118,3487622
0,0232;0,063329282;0,153221934;0,165793724;0,272596731;114,3546192
0,0233;0,063485231;0,153188099;0,165822098;0,283737853;111,411216
0,0234;0,06364126;0,153155254;0,165851565;0,29467106;109,3320752
0,0235;0,063797371;0,15312338;0,165882109;0,305436718;107,6565782
0,0236;0,063953566;0,153092459;0,165913711;0,316021557;105,8483907
0,0237;0,064109849;0,153062464;0,165946348;0,326371795;103,502377
0,0238;0,064266225;0,153033361;0,16597999;0,336420473;100,4867834
0,0239;0,064422697;0,153005112;0,166014602;0,346114991;96,94518185
0,024;0,064579265;0,152977676;0,166050145;0,355432525;93,17533856
0,0241;0,064735927;0,152951015;0,166086583;0,364380721;89,48195591
0,0242;0,064892677;0,152925095;0,166123882;0,372988821;86,08100285
0,0243;0,065049509;0,152899887;0,166162012;0,38129561;83,06788891
0,0244;0,065206413;0,152875367;0,166200945;0,389338197;80,42586468
0,0245;0,065363377;0,152851516;0,16624066;0,397143459;78,05262152
0,0246;0,065520387;0,152828315;0,166281132;0,404723081;75,79621923
0,0247;0,06567743;0,152805745;0,166322339;0,412072931;73,49850692
0,0248;0,065834491;0,152783788;0,166364257;0,419177035;71,04103841
0,0249;0,065991557;0,15276242;0,166406859;0,426015064;68,38028927
0,025;0,066148616;0,152741617;0,166450116;0,432570713;65,55649359
0,0251;0,066305656;0,152721354;0,166493999;0,438837794;62,67080994
0,0252;0,066462669;0,152701603;0,166538482;0,444822058;59,84263576
0,0253;0,066619648;0,15268234;0,166583536;0,450538864;57,16806333
0,0254;0,066776586;0,152663541;0,166629136;0,456008389;54,695249
0,0255;0,066933479;0,152645184;0,166675261;0,461250426;52,42036235
0,0256;0,067090323;0,152627248;0,166721889;0,466280331;50,29905491
0,0257;0,067247115;0,152609714;0,166769;0,471106923;48,26592293
0,0258;0,067403853;0,152592561;0,166816573;0,475732453;46,25529695
0,0259;0,067560535;0,152575769;0,166864589;0,480154263;44,21810075
0,026;0,067717158;0,152559315;0,166913026;0,484367379;42,13116343
0,0261;0,067873723;0,152543178;0,166961862;0,488367159;39,99779455
0,0262;0,068030225;0,152527337;0,167011077;0,492151284;37,84125222
0,0263;0,068186663;0,152511769;0,16706065;0,495720749;35,69465056
0,0264;0,068343034;0,152496453;0,167110557;0,49907985;33,59101248
0,0265;0,068499333;0,15248137;0,167160781;0,502235443;31,55592623
0,0266;0,068655554;0,152466501;0,167211301;0,505195809;29,60365547
0,0267;0,068811693;0,152451829;0,167262098;0,507969448;27,73639813
0,0268;0,068967743;0,152437338;0,167313154;0,510564038;25,94589554
0,0269;0,069123697;0,152423012;0,167364453;0,512985693;24,21654916
0,027;0,069279547;0,152408837;0,167415976;0,515238624;22,5293153
0,0271;0,069435286;0,152394799;0,167467709;0,517325198;20,86573505
0,0272;0,069590905;0,152380883;0,167519634;0,519246346;19,21148436
0,0273;0,069746399;0,152367076;0,167571734;0,521002233;17,55886753
0,0274;0,069901759;0,152353363;0,167623993;0,522593015;15,907824
0,0275;0,070056979;0,15233973;0,167676395;0,524019547;14,26531295
0,0276;0,070212052;0,152326162;0,167728923;0,525283879;12,64332018
0,0277;0,070366974;0,152312644;0,167781562;0,526389485;11,05605968
0,0278;0,07052174;0,152299164;0,167834296;0,527341193;9,517084876
0,0279;0,070676345;0,152285706;0,167887111;0,528144887;8,036939134
0,028;0,070830786;0,152272258;0,167939992;0,52880706;6,621726847
0,0281;0,070985059;0,152258807;0,167992925;0,529334329;5,272696491
0,0282;0,071139161;0,15224534;0,168045898;0,529732999;3,986695951
0,0283;0,071293091;0,152231847;0,168098899;0,530008723;2,757234446
0,0284;0,071446844;0,152218314;0,168151916;0,530166307;1,575849851
0,0285;0,07160042;0,152204733;0,168204937;0,530209658;0,43350582
0,0286;0,071753817;0,15219109;0,168257951;0,530141838;-0,678201506
0,0287;0,071907031;0,152177377;0,168310948;0,52996522;-1,766177105
0,0288;0,072060062;0,152163582;0,168363916;0,529681683;-2,835373222
0,0289;0,072212908;0,152149695;0,168416845;0,529292809;-3,888743147
0,029;0,072365566;0,152135706;0,168469725;0,528800056;-4,9275305
0,0291;0,072518034;0,152121606;0,168522546;0,528204878;-5,951777848
0,0292;0,07267031;0,152107385;0,168575296;0,527508786;-6,960921786
0,0293;0,072822392;0,152093033;0,168627968;0,52671335;-7,954352629
0,0294;0,072974275;0,152078543;0,16868055;0,525820166;-8,931846782
0,0295;0,073125956;0,152063904;0,168733033;0,524830784;-9,893818476
0,0296;0,073277433;0,152049109;0,168785408;0,523746646;-10,84137459
0,0297;0,0734287;0,152034151;0,168837664;0,522569028;-11,77618813
0,0298;0,073579753;0,15201902;0,168889794;0,521299005;-12,70022826
0,0299;0,073730589;0,152003711;0,168941788;0,519937465;-13,61540075
0,03;0,073881202;0,151988214;0,168993637;0,518485149;-14,5231605
0,0301;0,074031588;0,151972523;0,169045331;0,516942733;-15,42416024
0,0302;0,074181742;0,151956631;0,169096862;0,515310933;-16,31799335
0,0303;0,07433166;0,151940531;0,169148221;0,513590626;-17,20307538
0,0304;0,074481338;0,151924215;0,169199399;0,511782957;-18,07668724
0,0305;0,074630772;0,151907675;0,169250388;0,509889439;-18,93517721
0,0306;0,074779957;0,151890906;0,169301179;0,50791201;-19,77429149
0,0307;0,07492889;0,151873901;0,169351765;0,505853052;-20,58958398
0,0308;0,075077568;0,151856651;0,169402136;0,503715367;-21,37684421
0,0309;0,075225989;0,151839152;0,169452286;0,501502119;-22,13248582
0,031;0,075374148;0,151821396;0,169502208;0,499216734;-22,85385046
0,0311;0,075522044;0,151803379;0,169551894;0,496862794;-23,53940114
0,0312;0,075669675;0,151785093;0,169601339;0,494443914;-24,18879881
0,0313;0,075817037;0,151766534;0,169650535;0,491963626;-24,80287246
0,0314;0,07596413;0,151747698;0,169699478;0,489425276;-25,38350308
0,0315;0,07611095;0,151728578;0,169748161;0,486831931;-25,93344631
0,0316;0,076257497;0,151709171;0,16979658;0,48418632;-26,45611906
0,0317;0,076403768;0,151689473;0,169844729;0,481490782;-26,9553724
0,0318;0,076549761;0,151669479;0,169892603;0,478747255;-27,43527047
0,0319;0,076695475;0,151649185;0,169940199;0,475957266;-27,89989023
0,032;0,076840908;0,151628589;0,169987511;0,473121951;-28,35315454
0,0321;0,076986057;0,151607685;0,170034535;0,47024208;-28,798705
0,0322;0,077130922;0,151586471;0,170081267;0,467318099;-29,23981727
0,0323;0,0772755;0,151564944;0,170127702;0,464350163;-29,6793555
0,0324;0,07741979;0,151543098;0,170173836;0,461338187;-30,11975797
0,0325;0,077563787;0,151520933;0,170219664;0,458281883;-30,56304187
0,0326;0,077707492;0,151498442;0,170265182;0,455180802;-31,01081427
0,0327;0,0778509;0,151475625;0,170310386;0,452034374;-31,46427633
0,0328;0,07799401;0,151452476;0,17035527;0,448841953;-31,92421226
0,0329;0,078136817;0,151428993;0,17039983;0,445602857;-32,39095904
0,033;0,07827932;0,151405173;0,170444062;0,442316421;-32,86436019
0,0331;0,078421515;0,151381011;0,17048796;0,43898205;-33,34371249
0,0332;0,078563399;0,151356505;0,17053152;0,435599278;-33,82771992
0,0333;0,078704969;0,151331651;0,170574737;0,43216783;-34,31447155
0,0334;0,078846221;0,151306446;0,170617606;0,428687685;-34,80145901
0,0335;0,078987153;0,151280887;0,170660122;0,42515912;-35,2856449
0,0336;0,079127761;0,151254969;0,17070228;0,421582761;-35,7635862
0,0337;0,079268042;0,151228691;0,170744076;0,417959601;-36,23160694
0,0338;0,079407994;0,151202047;0,170785505;0,414291;-36,6860057
0,0339;0,079547614;0,151175037;0,170826563;0,410578672;-37,12327631
0,034;0,079686899;0,151147655;0,170867245;0,406824641;-37,54031772
0,0341;0,079825848;0,1511199;0,170907548;0,40303118;-37,93461064
0,0342;0,079964458;0,151091768;0,170947468;0,399200745;-38,30434513
0,0343;0,080102714;0,151063265;0,170987001;0,395329771;-38,70974079
0,0344;0,080240694;0,151034349;0,171026149;0,391474582;-38,55189007
0,0345;0,0803784;0,151005019;0,171064909;0,387602412;-38,72169972
0,0346;0,080515815;0,150975281;0,171103279;0,383698167;-39,04245002
0,0347;0,080652915;0,150945143;0,171141254;0,379754042;-39,44124929
0,0348;0,080789678;0,150914612;0,171178831;0,375768519;-39,85523274
0,0349;0,080926091;0,150883692;0,171216006;0,371746019;-40,22500093
0,035;0,081062145;0,150852384;0,171252775;0,367694207;-40,51811689
0,0351;0,081197837;0,150820688;0,171289137;0,363620875;-40,73332198
0,0352;0,081333168;0,150788601;0,17132509;0,35953167;-40,89204674
0,0353;0,081468141;0,150756123;0,171360633;0,355429146;-41,02524155
0,0354;0,081602756;0,150723251;0,171395765;0,351312979;-41,16167444
0,0355;0,081737012;0,150689984;0,171430483;0,347180885;-41,32093382
0,0356;0,081870909;0,150656321;0,171464786;0,343029728;-41,51157637
0,0357;0,082004443;0,150622261;0,171498671;0,338856419;-41,73308648
0,0358;0,08213761;0,150587805;0,171532137;0,334658452;-41,9796704
0,0359;0,082270407;0,150552952;0,171565181;0,330434043;-42,24409373
0,036;0,082402831;0,1505177;0,171597799;0,326182125;-42,51917066
0,0361;0,082534877;0,15048205;0,171629989;0,321903736;-42,78389865
0,0362;0,082666545;0,150445998;0,171661749;0,31759878;-43,04955231
0,0363;0,082797831;0,150409546;0,171693076;0,313265961;-43,32819646
0,0364;0,082928734;0,150372689;0,171723966;0,308903932;-43,62028463
0,0365;0,083059249;0,150335428;0,171754417;0,304511761;-43,92171241
0,0366;0,083189376;0,150297761;0,171784426;0,300089095;-44,22666073
0,0367;0,08331911;0,150259685;0,17181399;0,295636176;-44,52918969
0,0368;0,083448449;0,150221201;0,171843105;0,291153779;-44,82396632
0,0369;0,083577391;0,150182305;0,171871769;0,286643127;-45,10652475
0,037;0,083705933;0,150142998;0,17189998;0,282105792;-45,37334827
0,0371;0,083834074;0,150103277;0,171927734;0,277543601;-45,62190636
0,0372;0,083961811;0,150063142;0,17195503;0,272958534;-45,8506705
0,0373;0,084089143;0,150022592;0,171981866;0,268352626;-46,05908731
0,0374;0,084216066;0,149981626;0,172008238;0,263727877;-46,24748956
0,0375;0,08434258;0,149940244;0,172034147;0,259086182;-46,41694917
0,0376;0,084468682;0,149898446;0,17205959;0,254429272;-46,56909804
0,0377;0,08459437;0,149856232;0,172084566;0,249758677;-46,70595397
0,0378;0,084719641;0,149813602;0,172109073;0,245075698;-46,82978544
0,0379;0,084844494;0,149770557;0,172133111;0,240381394;-46,94303566
0,038;0,084968926;0,149727097;0,172156679;0,235676564;-47,04830698
0,0381;0,085092935;0,149683224;0,172179775;0,230961725;-47,14838786
0,0382;0,085216518;0,149638936;0,172202399;0,226237096;-47,24628966
0,0383;0,085339673;0,149594236;0,172224549;0,221502571;-47,34525372
0,0384;0,085462398;0,149549124;0,172246225;0,216757701;-47,44869157
0,0385;0,08558469;0,149503601;0,172267425;0,212001698;-47,5600333
0,0386;0,085706547;0,149457666;0,172288148;0,20723345;-47,68247881
0,0387;0,085827967;0,14941132;0,172308394;0,202451583;-47,81867059
